session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
62ab9d8cbc72a431c9270fe1,6137e4b758f40ab1af07c48f,AWAITING REVIEW,2022-06-16 21:17:03.712000,2022-06-16 21:21:30.001000,266.289,28,104,1,100,,39F54BF2,Portugal,Portugal,Due to start a new job within the next month,Portuguese,Portugal,Male,Yes
62ab9d950db6c797d8dbf832,5c5c4c803b47870001fb235f,AWAITING REVIEW,2022-06-16 21:16:07.860000,2022-06-16 21:21:37.698000,329.838,,197,4,98,,7781F798,Portugal,Portugal,DATA EXPIRED,Portuguese,Portugal,Male,DATA EXPIRED
62ab9d951190cf7fa663b548,60196cc05e7bc705c9ab5891,AWAITING REVIEW,2022-06-16 21:16:05.888000,2022-06-16 21:24:25.369000,499.481,23,39,1,99,,NOCODE,Poland,Poland,Full-Time,Polish,Poland,Female,Yes
62ab9d959ea85d11981ef54a,5f561a95aa1c4ea13672f138,AWAITING REVIEW,2022-06-16 21:16:05.621000,2022-06-16 21:19:03.141000,177.52,38,390,4,100,,7781F798,Italy,Italy,Full-Time,Italian,Italy,Male,No
62ab9d98ab23589f4c1f364d,60f6a9e7b850ae0b4faf6d84,AWAITING REVIEW,2022-06-16 21:17:06.373000,2022-06-16 21:23:25.360000,378.987,29,37,0,100,,7781F798,South Africa,South Africa,Due to start a new job within the next month,DATA EXPIRED,South Africa,Female,No
62ab9d9974eed248b70a1eea,5cc8c6f1ec2eb00001ad2e2a,AWAITING REVIEW,2022-06-16 21:16:09.799000,2022-06-16 21:23:28.956000,439.157,23,56,0,100,,7781F798,Spain,Spain,Unemployed (and job seeking),Spanish,Spain,Male,No
62ab9d9a90becb578d2fac9c,6107e334f6afb74c16800895,AWAITING REVIEW,2022-06-16 21:16:17.559000,2022-06-16 21:27:23.247000,665.688,21,77,2,98,,7781F798,Belgium,Belgium,Part-Time,Turkish,Belgium,Female,Yes
62ab9d9f20933df813481bfc,6156e3b702a9788099a99eab,AWAITING REVIEW,2022-06-16 21:17:02.011000,2022-06-16 21:22:51.722000,349.711,20,60,0,100,,7781F798,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,South Africa,Female,Yes
62ab9da3f5608e7246da10f8,613a7218f9ec43822c2bd5fe,AWAITING REVIEW,2022-06-16 21:16:19.774000,2022-06-16 21:19:31.519000,191.745,21,85,2,99,,7781F798,Mexico,Mexico,Part-Time,Spanish,Mexico,Female,Yes
62ab9da5fa96065278394a9a,5e67d35988ddd80426fc8519,AWAITING REVIEW,2022-06-16 21:16:24.194000,2022-06-16 21:22:45.416000,381.222,29,196,3,99,,39F54BF2,Poland,Poland,DATA EXPIRED,Polish,Poland,Male,DATA EXPIRED
62ab9daa3f363891a2714709,5f859c2ef6c2b101addd11c6,AWAITING REVIEW,2022-06-16 21:16:26.942000,2022-06-16 21:25:16.577000,529.635,32,67,1,100,,7781F798,Greece,Greece,Unemployed (and job seeking),Greek,Greece,Female,No
62ab9dadaa70da2ed0fc0dc7,60ecc6d2bbba2c5a9d353645,RETURNED,2022-06-16 21:16:29.904000,,58831.549395,32,40,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab9db2e9a009b5bb2e0136,6101ef08c2b955dbbc1a5a31,AWAITING REVIEW,2022-06-16 21:16:41.142000,2022-06-16 21:21:45.977000,304.835,20,33,0,100,,7781F798,Portugal,Portugal,Other,Portuguese,Portugal,Male,Yes
62ab9db2f28e7765ff8a4988,6079f514cefb222b83b00af3,AWAITING REVIEW,2022-06-16 21:16:34.538000,2022-06-16 21:24:05.026000,450.488,23,97,0,100,,7781F798,Italy,Italy,Other,Italian,Italy,Female,Yes
62ab9db342ce17223525697e,6166261cb12cfd628bfd9fe2,AWAITING REVIEW,2022-06-16 21:16:43.373000,2022-06-16 21:22:49.228000,365.855,27,44,0,100,,7781F798,Portugal,Portugal,Unemployed (and job seeking),Portuguese,Portugal,Female,No
62ab9db8e484a80b31794a7c,5f3f3d353897d223654ac70c,REJECTED,2022-06-16 21:20:32.492000,2022-06-16 21:29:08.305000,515.813,48,184,1,100,2022-06-16 21:41:54.432000,39F54BF2,Poland,Poland,Full-Time,Polish,Poland,Male,No
62ab9dbc68a20780c50d1347,5e948b1c24e9a7314365df1a,AWAITING REVIEW,2022-06-16 21:16:44.688000,2022-06-16 21:22:04.127000,319.439,34,146,2,99,,7781F798,Spain,Spain,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
62ab9dbd1e98ec39a1c536f6,616552155d18efe3e82aceb9,AWAITING REVIEW,2022-06-16 21:17:41.413000,2022-06-16 21:24:46.827000,425.414,23,29,2,95,,7781F798,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,South Africa,Female,DATA EXPIRED
62ab9dc6dcfd0e5840b0c9c5,60972e1f9ab86fef7b07906c,RETURNED,2022-06-16 21:16:54.323000,,58807.251768,20,104,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62ab9dcb98e04ec4d6fa67a9,5d364af3e853f600180066ad,AWAITING REVIEW,2022-06-16 21:16:59.873000,2022-06-16 21:22:28.903000,329.03,22,36,0,100,,7781F798,Poland,Poland,Other,Polish,Poland,Female,Yes
62ab9dd46f08838be8f9eacd,5aa0469d6475f90001a029ed,RETURNED,2022-06-16 21:28:00.058000,,58141.552607,24,56,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
