session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Record Video,Sex,Student Status,Webcam
62a9efbc53ac499db6bb7b9c,60a6ba026f8bd75b67b23c97,RETURNED,2022-06-15 14:42:06.442000,,60249.163104,22,184,4,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9effe1a2cb5bfeae9a49f,60fe8de5380ae67bf7370ac8,RETURNED,2022-06-15 14:43:29.048000,,60166.56924,30,383,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f019a4598d0d4a256fc4,5f16ea9ebc1b4201e1f0b47e,AWAITING REVIEW,2022-06-15 14:43:41.789000,2022-06-15 14:51:25.141000,463.352,37,57,0,100,,7087CC1D,Iran,Sweden,Full-Time,Kurdish,Sweden,Yes,Female,Yes,Yes
62a9f10406d578696e5af16a,60a0a3dda042dc48351534ae,RETURNED,2022-06-15 14:49:32.817000,,59802.827015,30,164,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f3b736039eb026d13944,60fd3d262e419d609598f116,RETURNED,2022-06-15 15:00:17.364000,,59158.292859,25,264,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f438cb6a98514be7bdea,5b8c8e7d0c740e00019d55c3,RETURNED,2022-06-15 15:11:12.079000,,58503.591555,36,837,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f470203ce45d22090224,6160d556747bbac73b681dc0,AWAITING REVIEW,2022-06-15 15:02:17.590000,2022-06-15 15:10:23.410000,485.82,25,57,1,100,,39F54BF2,Mexico,Mexico,Part-Time,Spanish,Mexico,Yes,Female,Yes,Yes
62a9f5a7726adcb3f144b88f,6123c189f52c1c459f9f892f,RETURNED,2022-06-15 15:17:19.964000,,58135.733523,25,127,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f5b8322817be2380e012,612ba6c594a6d54154a88ae7,RETURNED,2022-06-15 15:07:36.046000,,58719.663717,21,343,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f5e30bf065125dbee97b,5e8857494fc4234d2420439c,RETURNED,2022-06-15 15:15:02.614000,,58273.109316,45,348,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62a9f785fa5438dc7f11a356,5ee0edcb962eba464f486b40,RETURNED,2022-06-15 15:19:42.672000,,57993.065365,63,1201,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
